2008/1/600;미술대학;
2013-01-19 21:00:41
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;동양화과;1학년;003.054;;동양미술의 이해;3;수(7-3);083-501;문정희;70;18;미대생수강불허;normal_art
교양;동양화과;1학년;003.054;031;동양미술의 이해;3;월(7-3);083-501;유미나;70;24;미대생수강불허;normal_art
교양;서양화과;1학년;003.055;001;서양미술의 이해;3;금(5-3);083-505;허수정;150;133;미대생 수강불허;normal_art
교양;서양화과;1학년;003.055;002;서양미술의 이해;3;수(7-3);083-305;김동욱;150;98;미대생 수강불허;normal_art
교양;디자인학부;1학년;003.056;;디자인과 생활;3;수(5-3);049-309;김민수;60;48;;normal_art
교양;서양화과;1학년;003.076;;미술명작의 이해;3;수(7-3);083-506;이영훈;150;54;미대생 수강불허;normal_art
교양;디자인학부;1학년;008.054;001;도예의 기초;2;화(1-4);052-210;성석진;25;25;미대생 수강불허;normal_exercise
교양;디자인학부;1학년;008.054;002;도예의 기초;2;금(1-4);052-210;임의섭;25;22;미대생 수강불허;normal_exercise
교양;동양화과;1학년;008.055A;;수묵화의 기초;2;수(2-3);052-203-2;이윤정;20;20;미대생수강불허;normal_exercise
교양;동양화과;1학년;008.055A;031;수묵화의 기초;2;화(2-3);052-203-2;박민희;20;16;미대생수강불허;normal_exercise
교양;서양화과;1학년;008.056;;수채화의 기초;2;화(5-4);052-205;박주욱;20;17;미대생 수강불허;normal_exercise
교양;디자인학부;1학년;008.060;;사진의 기초;2;수(1-3);049-309;오떼리;50;37;;normal_exercise
교양;서양화과;1학년;008.061;001;소묘의 기초;2;금(1-4);052-205;이계원;20;23;미대생 수강불허;normal_exercise
교양;서양화과;1학년;008.061;002;소묘의 기초;2;화(1-4);052-205;이광호;20;17;미대생 수강불허;normal_exercise
교양;서양화과;1학년;008.061;003;소묘의 기초;2;수(5-4);052-205;김호준;20;20;미대생 수강불허;normal_exercise
교양;서양화과;1학년;023.003;;서양의 미술과 문명;3;월(8-1.5)/수(8-1.5);083-505/083-505;정영목;180;181;미대생 수강불허;core_art
전필;디자인학부;1학년;600.102;;서양미술사;3;화(2-3);049-309;강영주;40;62;;
전필;미술대학;1학년;600.201;001;기초소묘 1;2;월(5-4);052-205;이주원;30;20;동양화과;
전필;미술대학;1학년;600.201;002;기초소묘 1;2;금(5-4);052-205;김형관;30;32;서양화과;
전필;미술대학;1학년;600.201;003;기초소묘 1;2;목(5-4);052-205;안성규;30;20;조소과;
전필;미술대학;1학년;600.203;001;기초소조 1;2;수(5-4);051-103;이혜민;30;19;동양화과;
전필;미술대학;1학년;600.203;002;기초소조 1;2;월(5-4);051-103;김홍진;30;30;서양화과;
전필;미술대학;1학년;600.203;003;기초소조 1;2;금(5-4);051-103;이용덕;30;20;조소과;
전필;미술대학;1학년;600.205;001;기초디자인 1;2;화(1-4);052-202;지원진;30;17;동양화과;
전필;미술대학;1학년;600.205;002;기초디자인 1;2;수(5-4);052-308;임자혁;30;28;서양화과;
전필;미술대학;1학년;600.205;003;기초디자인 1;2;화(5-4);052-203;임명옥;30;23;조소과;
전필;디자인학부;2학년;600.220A;;디자인사;3;화(5-3);049-309;김민수;30;28;;
전선;디자인학부;2학년;600.221;;색채학;2;금(2-2);049-309;추선형;50;44;;
