2008/2/300;자연과학대학;
2013-01-19 21:01:00
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;물리·천문학부;1학년;006.004;;우주의 진화;3;화(5-1.5)/목(5-1.5);500-L311/500-L311;이정훈;60;51;;normal_nature
교양;생명과학부;1학년;006.005;;미생물과 인류복지;3;화(5-1.5)/목(5-1.5);028-103/028-103;천종식;60;51;;normal_nature
교양;생명과학부;1학년;006.008;;생태계와 환경오염;3;월(7-3);500-L308;김상종;30;13;;normal_nature
교양;생명과학부;2학년;006.009;;인체생물학;3;화(5-1.5)/목(5-1.5);043-101/043-101;안태인;100;82;;normal_nature
교양;협동과정  과학사 및 과학철학전공;1학년;006.021;;과학사개론;3;화(6.5-1.5)/목(6.5-1.5);500-L304/500-L304;정원;160;18;;normal_nature
교양;협동과정  과학사 및 과학철학전공;1학년;006.024;;과학과 문화;3;화(6.5-1.5)/목(6.5-1.5);024-112/024-112;조수남;60;16;;normal_nature
교양;협동과정  과학사 및 과학철학전공;1학년;006.025;;과학기술과 사회;3;월(8-1.5)/수(8-1.5);018-412/018-412;김명진;60;20;;normal_nature
교양;생명과학부;1학년;006.039;;두뇌의 이해;3;화(6.5-1.5)/목(6.5-1.5);43-1-402/43-1-402;최석우;60;79;;normal_nature
교양;통계학과;2학년;007.046;001;통계학의 개념 및 실습;3;화(5-2)/목(5-2);024-211/025-210;송문섭;40;24;인문/사회계열;normal_science
교양;통계학과;2학년;007.046;002;통계학의 개념 및 실습;3;월(5-2)/수(5-2);024-110/102-201;이승묵;40;33;인문/사회계열;normal_science
교양;수리과학부;1학년;010.101;;수학 및 연습 1;3;월(5-1)/수(5-1)/금(5-2)/금(5-2);024-113/024-113/018-403/018-112;김형준;50;40;;basic_science
교양;수리과학부;1학년;010.102;001;수학 및 연습 2;3;월(3-1)/수(3-1)/금(3-2)/금(3-2);500-L301/500-L301/020-104/020-115;계승혁;50;34;자연대;basic_science
