2008/2/700;사범대학;
2013-01-19 21:01:10
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;지리교육과;1학년;005.019;;국토와 환경교육;3;화(6.5-1.5)/목(6.5-1.5);009-106/009-106;성영배;100;10;;normal_society
교양;교육학과;1학년;005.032;001;교육의 이해;3;월(8-1.5)/수(8-1.5);10-1-507/10-1-507;문용린;150;67;;normal_society
교양;교육학과;1학년;005.032;002;교육의 이해;3;목(5-3);011-102;조용환;60;60;;normal_society
교양;윤리교육과;1학년;005.036;;여성과 사회;3;월(6.5-1.5)/수(6.5-1.5);010-107/010-107;이온죽;80;6;;normal_society
교양;윤리교육과;1학년;005.037;001;사상과 윤리;2;월(3-2);10-1-507;김상돈;80;44;;normal_society
교양;윤리교육과;1학년;005.037;002;사상과 윤리;2;금(1-2);10-1-308;이진희;80;19;;normal_society
교양;윤리교육과;1학년;005.038;;북한학개론;3;화(8-3);014-104;이춘근;80;24;;normal_society
교양;체육교육과;1학년;008.002;;체육 2;1;금(7-2);-;권순용;80;48;타과생수강불허;normal_exercise
교양;체육교육과;1학년;008.004;001;축구;1;목(7-2);-;김정효;30;28;종합운동장;normal_exercise
교양;체육교육과;1학년;008.004;002;축구;1;목(1-2);-;유흥주;30;20;종합운동장;normal_exercise
교양;체육교육과;2학년;008.004;031;축구;1;월(1-2);-;이성운;30;26;종합운동장;normal_exercise
교양;체육교육과;2학년;008.004;032;축구;1;목(5-2);-;서재철;30;22;종합운동장;normal_exercise
교양;체육교육과;1학년;008.005;;배구;1;금(3-2);-;김지석;30;23;종합체육관;normal_exercise
교양;체육교육과;2학년;008.005;031;배구;1;금(5-2);-;김지석;30;27;종합체육관;normal_exercise
교양;체육교육과;1학년;008.006;;양궁;1;금(5-2);-;이은경;30;39;간이운동장;normal_exercise
교양;체육교육과;2학년;008.006;031;양궁;1;금(7-2);-;이은경;30;34;간이운동장;normal_exercise
교양;체육교육과;2학년;008.012;031;야구;1;금(3-2);-;천영진;30;31;야구장;normal_exercise
교양;체육교육과;2학년;008.012;032;야구;1;금(5-2);-;천영진;30;32;야구장;normal_exercise
교양;체육교육과;2학년;008.012;033;야구;1;수(3-2);-;박현우;30;26;야구장;normal_exercise
교양;체육교육과;1학년;008.016;;태권도;1;목(1-2);-;박동영;30;22;태권도장;normal_exercise
교양;체육교육과;2학년;008.016;031;태권도;1;목(3-2);-;박동영;30;25;태권도장;normal_exercise
교양;체육교육과;1학년;008.017;;에어로빅;1;수(1-2);-;황미경;30;18;태권도장;normal_exercise
교양;체육교육과;1학년;008.017;031;에어로빅;1;수(3-2);-;황미경;30;16;태권도장;normal_exercise
교양;체육교육과;2학년;008.017;032;에어로빅;1;금(1-2);-;석민화;30;19;현대무용실;normal_exercise
