2008/2/940;환경대학원;
2013-01-19 21:01:13
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;환경계획학과;1학년;005.040;;현대도시문제의 이해;3;월(8-3);082-103;전상인;80;21;;normal_society
교양;환경계획학과;1학년;006.034;;현대산업사회의 환경문제;3;목(5-3);083-604;이도원;80;24;;normal_nature
;환경계획학과;석박사;940.803;001;대학원논문연구;3;;;김정욱;40;2;;
;환경계획학과;석박사;940.803;002;대학원논문연구;3;;;이도원;40;2;;
;환경계획학과;석박사;940.803;003;대학원논문연구;3;;;김성수;40;4;;
;환경계획학과;석박사;940.803;004;대학원논문연구;3;;;이동수;40;2;;
;환경계획학과;석박사;940.803;005;대학원논문연구;3;;;이영인;40;6;;
;환경계획학과;석박사;940.803;006;대학원논문연구;3;;;최막중;40;8;;
;환경계획학과;석박사;940.803;007;대학원논문연구;3;;;이희연;40;8;;
;환경계획학과;석박사;940.803;008;대학원논문연구;3;;;김광중;40;5;;
;환경계획학과;석박사;940.803;009;대학원논문연구;3;;;전상인;40;3;;
;환경조경학과;석박사;940.803;010;대학원논문연구;3;;;유병림;100;3;;
;환경조경학과;석박사;940.803;011;대학원논문연구;3;;;양병이;100;3;;
;환경조경학과;석박사;940.803;012;대학원논문연구;3;;;김기호;100;5;;
;환경조경학과;석박사;940.803;013;대학원논문연구;3;;;황기원;100;2;;
;환경조경학과;석박사;940.803;015;대학원논문연구;3;;;성종상;100;5;;
;환경계획학과;석박사;940.803;016;대학원논문연구;3;;;윤순진;40;9;;
;환경계획학과;석박사;940.803;017;대학원논문연구;3;;;이영성;40;3;;
;환경조경학과;석박사;940.803;018;대학원논문연구;3;;;조경진;100;3;;
전선;환경계획학과;석사;941.513A;;기반시설론;3;목(6-3);082-305;이영성;80;9;;
전선;환경계획학과;석사;941.522;;계획법;3;목(10-3);082-305;정희남;80;47;;
전선;환경계획학과;석사;941.528;;교통계획;3;목(2-3);082-304;박진경;80;14;;
전선;환경계획학과;석사;941.576;;대기관리;3;월(2-3);082-305;김정욱;80;6;;
전선;환경계획학과;석사;941.579;;폐기물관리;3;금(6-3);082-203;이동수;80;16;;
전선;환경계획학과;석사;941.580;;공공경제학;3;화(2-3);082-305;이정전;80;28;;
전선;환경계획학과;석사;941.587;;대중교통관리;3;화(7-2)/목(7-2);082-204/082-204;김성수;80;14;;
전선;환경계획학과;석사;941.589B;;지능형교통체계세미나;3;목(10-3);082-303;김연명;80;15;;
전선;환경계획학과;석사;941.591;;교통경제세미나;3;금(10-3);082-303;이성원;80;9;;
전선;환경계획학과;석사;941.614;;조사통계론;3;화(6-3);082-305;이희연;80;31;;
전선;환경계획학과;석사;941.623;;도시개발 및 정비;3;금(6-3);082-305;김광중;80;24;;
전선;환경계획학과;석사;941.624;;부동산론;3;금(2-3);082-305;최막중;90;73;;
전선;환경계획학과;석사;941.641A;;국토 및 지역계획론;3;목(2-3);082-303;김현호;80;25;;
전선;환경계획학과;석사;941.660A;;도시사회론;3;화(2-3);082-308;전상인;80;27;;
