2008/W/700;사범대학;
2013-01-19 21:01:20
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;체육교육과;1학년;008.006;001;양궁;1;월(1-2)/수(1-2)/금(1-2);-    /   -    /   -;이은경;30;17;간이운동장;normal_exercise
교양;체육교육과;1학년;008.006;002;양궁;1;월(3-2)/수(3-2)/금(3-2);-    /   -    /   -;이은경;30;26;간이운동장;normal_exercise
교양;체육교육과;1학년;008.006;003;양궁;1;월(5-2)/수(5-2)/금(5-2);-    /   -    /   -;이은경;30;19;간이운동장;normal_exercise
교양;체육교육과;1학년;008.040;001;체력단련;1;월(1-2)/수(1-2)/금(1-2);-    /   -    /   -;박성희;30;23;트레이닝장;normal_exercise
교양;체육교육과;1학년;008.040;002;체력단련;1;월(3-2)/수(3-2)/금(3-2);-    /   -    /   -;소위영;30;12;트레이닝장;normal_exercise
교양;체육교육과;1학년;008.040;003;체력단련;1;월(5-2)/수(5-2)/금(5-2);-    /   -    /   -;장혁기;30;21;트레이닝장;normal_exercise
교양;체육교육과;1학년;008.040;004;체력단련;1;월(7-2)/수(7-2)/금(7-2);-    /   -    /   -;이성운;30;18;트레이닝장;normal_exercise
교양;체육교육과;1학년;008.049;001;골프초급;1;월(1-2)/수(1-2)/금(1-2);-    /   -    /   -;양광희;30;14;교내외 시설 병행, 별도 시설이용료;normal_exercise
교양;체육교육과;1학년;008.049;002;골프초급;1;월(3-2)/수(3-2)/금(3-2);-    /   -    /   -;김종호;30;19;교내외 시설 병행, 별도 시설이용료;normal_exercise
교양;체육교육과;1학년;008.049;003;골프초급;1;월(5-2)/수(5-2)/금(5-2);-    /   -    /   -;김효중;30;11;교내외 시설 병행, 별도 시설이용료;normal_exercise
교양;체육교육과;1학년;008.049;004;골프초급;1;월(7-2)/수(7-2)/금(7-2);-    /   -    /   -;이승민;30;15;교내외 시설 병행, 별도 시설이용료;normal_exercise
