2009/1/100;인문대학;
2013-01-19 20:58:37
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;국어국문학과;1학년;001.014;;국어화법;3;화(6.5-1.5)/목(6.5-1.5);003-104/003-104;김평원;40;14;;normal_korean
교양;국어국문학과;1학년;001.015A;;학술논문작성법;3;월(8-1.5)/수(8-1.5);001-209/001-209;남미혜;40;7;;normal_korean
교양;국어국문학과;1학년;001.022A;;한국어 문장의 이해;3;화(8-1.5)/목(8-1.5);007-201/007-201;이영경;40;11;;normal_korean
교양;국어국문학과;1학년;001.026;;한국어 어휘와 표현;3;화(8-1.5)/목(8-1.5);001-206/001-206;김명운;60;24;;normal_korean
교양;영어영문학과;1학년;002.005A;001;영미문화 읽기;3;화(2.5-1.5)/목(2.5-1.5);006-105/006-105;윤병우;40;16;;normal_foreign
교양;영어영문학과;1학년;002.005A;002;영미문화 읽기;3;화(5-1.5)/목(5-1.5);001-101/001-101;이교선;40;21;;normal_foreign
교양;영어영문학과;1학년;002.006A;001;영미 대중소설 읽기;3;화(2.5-1.5)/목(2.5-1.5);006-103/006-103;김성곤;60;52;;normal_foreign
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(8-1.5)/수(8-1.5);006-103/006-103;나고은;60;27;;normal_foreign
교양;불어불문학과;1학년;002.042A;001;프랑스어권 문화의 이해;3;월(5-1.5)/수(5-1.5);005-212/005-212;이상빈;40;36;;normal_foreign
교양;불어불문학과;1학년;002.042A;002;프랑스어권 문화의 이해;3;화(6.5-1.5)/목(6.5-1.5);005-213/005-213;김정희;40;30;;normal_foreign
교양;불어불문학과;1학년;002.042A;003;프랑스어권 문화의 이해;3;월(1-1.5)/수(1-1.5);005-212/005-212;문경자;40;22;;normal_foreign
교양;불어불문학과;1학년;002.042A;004;프랑스어권 문화의 이해;3;화(1-1.5)/목(1-1.5);005-213/005-213;장진영;40;26;;normal_foreign
교양;불어불문학과;1학년;002.042A;005;프랑스어권 문화의 이해;3;금(2-3);005-212;권수경;40;34;;normal_foreign
교양;독어독문학과;1학년;002.053A;001;독일어권 문화의 이해;3;월(2.5-1.5)/수(2.5-1.5);001-103/001-103;최윤영;40;32;;normal_foreign
교양;독어독문학과;1학년;002.053A;002;독일어권 문화의 이해;3;월(2.5-1.5)/수(2.5-1.5);014-120/014-120;고원;40;4;;normal_foreign
교양;독어독문학과;1학년;002.053A;003;독일어권 문화의 이해;3;월(8-1.5)/수(8-1.5);001-103/001-103;이재원;40;11;;normal_foreign
교양;독어독문학과;1학년;002.053A;004;독일어권 문화의 이해;3;화(1-1.5)/목(1-1.5);001-103/001-103;김영룡;40;37;;normal_foreign
교양;언어학과;1학년;002.076;;언어의 이해;2;금(3-2);005-209;박소영;60;22;;normal_foreign
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;월(6.5-1.5)/수(6.5-1.5);006-210/006-210;임호준;40;35;;normal_foreign
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(1-1.5)/수(1-1.5);006-210/006-210;조영실;40;26;;normal_foreign
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;화(8-1.5)/목(8-1.5);006-210/006-210;강성식;40;27;;normal_foreign
교양;서어서문학과;1학년;002.133;004;스페인어권 문화의 이해;3;화(5-1.5)/목(5-1.5);006-210/006-210;이성훈;40;50;;normal_foreign
교양;국어국문학과;1학년;003.008;;시의 이해;2;수(3-2);005-116;이수정;60;37;;normal_art
교양;국어국문학과;1학년;003.014B;;한국고전문학의 이해;3;화(8-1.5)/목(8-1.5);005-213/005-213;이지영;60;6;;normal_art
교양;영어영문학과;1학년;003.017;;영시의 이해;3;월(6.5-1.5)/수(6.5-1.5);005-201/005-201;유명숙;60;32;;normal_art
교양;불어불문학과;1학년;003.018;001;프랑스명작의 이해;3;월(2.5-1.5)/수(2.5-1.5);005-213/005-213;정예영;40;14;;normal_art
