2009/2/200;사회과학대학;
2013-01-19 23:07:59
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;정치학과;1학년;005.001;001;정치학개론;3;월(2.5-1.5)/수(2.5-1.5);083-402/083-402;김남국;40;19;;normal_society
교양;정치학과;1학년;005.001;003;정치학개론;3;월(5-3);016-104;이상신;40;13;;normal_society
교양;외교학과;1학년;005.003;001;국제정치학입문;3;월(8-3);016-217;유성진;90;38;;normal_society
교양;경제학부;1학년;005.004;001;경제학개론;3;수(5-3);43-1-201;이근기;200;174;;normal_society
교양;경제학부;1학년;005.004;002;경제학개론;3;월(5-3);43-1-201;박태영;200;201;;normal_society
교양;인류학과;1학년;005.009;001;인류학개론;3;수(5-3);016-217;조윤미;80;36;;normal_society
교양;인류학과;1학년;005.009;002;인류학개론;3;월(5-3);016-236;정은주;80;25;;normal_society
교양;인류학과;1학년;005.009;003;인류학개론;3;금(2-3);016-217;정채성;80;82;;normal_society
교양;심리학과;1학년;005.010;001;심리학개론;3;화(8-1.5)/목(8-1.5);016-110/016-110;이종택;100;93;;normal_society
교양;심리학과;1학년;005.010;002;심리학개론;3;월(6.5-1.5)/수(6.5-1.5);083-305/083-305;김연수;100;101;;normal_society
교양;심리학과;1학년;005.010;003;심리학개론;3;금(2-3);016-110;이종택;100;104;;normal_society
교양;심리학과;1학년;005.010;004;심리학개론;3;목(5-3);016-110;박형생;100;105;;normal_society
교양;심리학과;1학년;005.010;005;심리학개론;3;화(1-1.5)/목(1-1.5);016-110/016-110;김민희;100;102;;normal_society
교양;심리학과;2학년;005.011;001;인간관계의 심리학;3;수(8-3);016-110;김지영;100;94;;normal_society
교양;심리학과;2학년;005.011;002;인간관계의 심리학;3;화(5-1.5)/목(5-1.5);016-214/016-214;임선영;100;108;;normal_society
교양;심리학과;2학년;005.011;003;인간관계의 심리학;3;금(2-3);016-214;박선영;100;111;;normal_society
교양;심리학과;2학년;005.011;004;인간관계의 심리학;3;금(5-3);016-214;하승수;100;104;;normal_society
교양;언론정보학과;1학년;005.023;001;매스컴과 현대사회;3;화(2.5-1.5)/목(2.5-1.5);016-214/016-214;홍종윤;120;95;언론정보학과 수강불허;normal_society
교양;언론정보학과;1학년;005.023;002;매스컴과 현대사회;3;월(6.5-1.5)/수(6.5-1.5);016-214/016-214;양정애;120;21;언론정보학과 수강불허;normal_society
교양;사회학과;1학년;005.043;;사회학의 이해;3;월(2.5-1.5)/수(2.5-1.5);016-217/016-217;이재열;60;29;;normal_society
교양;사회학과;1학년;005.044A;;한국인과 한국사회;3;수(5-3);016-236;장경섭;80;38;;normal_society
교양;언론정보학과;1학년;005.045;001;도서관정보검색;2;금(3-2);083-502;조명희;60;45;;normal_society
교양;언론정보학과;2학년;005.045;031;도서관정보검색;2;금(6-2);083-502;조명희;60;33;;normal_society
교양;언론정보학과;1학년;005.055;001;정보다루기;3;월(7-3);083-401;장윤재;80;18;;normal_society
교양;경제학부;1학년;025.006;001;인간생활과 경제;3;월(5-1.5)/수(5-1.5);016-110/016-110;김인준;60;79;;core_society
교양;경제학부;1학년;025.006;002;인간생활과 경제;3;화(5-1.5)/목(5-1.5);016-217/016-217;이준구;60;65;;core_society
교양;경제학부;1학년;025.006;003;인간생활과 경제;3;월(2.5-1.5)/수(2.5-1.5);016-214/016-214;홍기현;100;94;;core_society
교양;경제학부;1학년;025.006;004;인간생활과 경제;3;월(1-1.5)/수(1-1.5);016-237/016-237;이근;60;19;;core_society
교양;사회학과;1학년;025.007;;인권, NGO, 세계시민사회;3;화(5-1.5)/목(5-1.5);083-502/083-502;한상진;60;44;;core_society
교양;사회복지학과;1학년;025.008;;인간생활과 사회복지;3;월(5-1.5)/수(5-1.5);083-401/083-401;조흥식;70;11;;core_society
교양;언론정보학과;1학년;025.010;;정보사회와 커뮤니케이션;3;화(2.5-1.5)/목(2.5-1.5);083-404/083-404;이재현;60;55;언론정보학과 수강불허;core_society
교양;외교학과;1학년;025.011;;국제관계의 역사적 이해;3;월(6.5-1.5)/수(6.5-1.5);083-604/083-604;박상섭;120;38;;core_society
교양;인류학과;1학년;025.012;;인간과 문화;3;화(8-1.5)/목(8-1.5);083-506/083-506;김광억;200;54;;core_society
교양;정치학과;1학년;025.013;;현대정치의 이해;3;화(5-3);016-236;백창재;60;39;;core_society
교양;지리학과;1학년;025.014A;;세계와 지역의 환경문제;3;월(1-1.5)/수(1-1.5);016-236/016-236;유근배;70;12;;core_society
교양;정치학과;1학년;025.016A;;정치의 사상적 기초;3;화(6.5-1.5)/목(6.5-1.5);016-217/016-217;김세균;60;15;;core_society
교양;경제학부;1학년;025.017;;현대경제의 이해;3;수(6.5-3);016-237;김세직;60;65;;core_society
교양;심리학과;1학년;025.019;;현대사회와 심리;3;금(5-3);083-305;최인철;200;229;;core_society
교양;사회복지학과;1학년;025.020;;복지국가의 이해;3;화(2.5-1.5)/목(2.5-1.5);083-604/083-604;안상훈;80;26;;core_society
교양;정치학과;1학년;025.026;;한국정치의 분석과 이해;3;화(5-1.5)/목(5-1.5);083-305/083-305;이정복;200;203;;core_society
전선;정치학과;1학년;200.103;001;정치학원론;3;월(6.5-1.5)/수(6.5-1.5);083-404/083-404;장달중;120;120;;
전선;정치학과;1학년;200.103;002;정치학원론;3;월(5-1.5)/수(5-1.5);083-404/083-404;박찬욱;120;74;;
전선;외교학과;1학년;200.104;;국제정치학개론;3;화(2.5-1.5)/목(2.5-1.5);083-305/083-305;윤영관;250;154;;
전선;경제학부;1학년;200.105;;경제원론 1;3;월(2.5-1.5)/수(2.5-1.5);016-110/016-110;안동현;120;160;;
전선;경제학부;1학년;200.106;001;경제원론 2;3;화(2.5-1.5)/목(2.5-1.5);016-217/016-217;이준구;70;68;;
전선;경제학부;1학년;200.106;002;경제원론 2;3;월(8-1.5)/수(8-1.5);083-501/083-501;김병연;60;15;;
