2009/2/800;의과대학;
2013-01-19 23:08:11
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;의학과;1학년;006.032;;인간생명과학개론;3;화(8-2)/목(9-1);026-108/026-108;박재갑;200;170;;normal_nature
교양;의학과;1학년;006.040;;참살이의학특강;3;월(6-1)/수(6-2);028-301/028-301;정희순;200;58;;normal_nature
전필;의학과;1학년;801.107;;신경해부학및실험;2;;;이왕재;180;86;;
전필;의학과;1학년;801.110A;;신경생리학 및 실험;1;;;서인석;180;86;;
전필;의학과;1학년;801.112A;;병리학 및 실험;7;;;서정욱;180;91;;
전필;의학과;1학년;801.114A;;미생물학 및 실험;4;;;황응수;180;88;;
전필;의학과;1학년;801.132;;환자-의사-사회 2;1;;;조맹제;180;85;;
전필;의학과;1학년;801.133;;기초면역학;1;;;황응수;180;86;;
전필;의학과;1학년;801.134;;예방의학 및 실험;2;;;박병주;180;89;;
전필;의학과;1학년;801.135;;의공학;1;;;최진욱;180;88;;
전선;의학과;석박사;801.2052;;크로마틴리모델링과 질환;3;목(5-3);#   -;윤홍덕;30;12;;
전필;의학과;2학년;801.209A;;신경계학;3;;;황용승;180;158;;
전필;의학과;2학년;801.210A;;신장요로학;3;;;김연수;180;167;;
전필;의학과;2학년;801.213A;;순환기학;3;;;손대원;180;164;;
전필;의학과;2학년;801.214A;;호흡기학;3;;;김영환;180;162;;
전필;의학과;2학년;801.215A;;소화기학;3;;;김용태;180;158;;
전필;의학과;2학년;801.225;;환자-의사-사회 4;1;;;이은봉;180;152;;
전선;의학과;석박사;801.2305;;질환모델동물;3;목(9-3);#005-2;강병철;190;112;;
전선;의학과;석박사;801.2306;;신약개발을 위한 독성실험방법론;3;수(9-3);#005-2;강병철;180;40;;
전선;의학과;석박사;801.2405;;법과학개론 1;3;수(10-3);#   -;이숭덕;30;7;;
전선;의학과;석박사;801.2504;;장내선충증;3;수(9-2)/수(11-1);#001-310/#001-310;최민호;30;5;;
전선;의학과;석박사;801.2601;;근거중심보건의료;3;금(10-3);#005-1;박병주;180;113;;
전선;의학과;석박사;801.2602;;종자중심과 B세포분화;3;수(1-3);#   -;이왕재;30;4;;
전선;의학과;석박사;801.2609;;림프기관의 발생과 발달;3;목(1-3);#   -;이동섭;30;6;;
전선;의학과;석박사;801.2610;;NK세포면역학;3;금(1-3);#   -;강재승;30;12;;
