2009/S/100;인문대학;
2013-01-19 20:59:30
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;영어영문학과;1학년;002.005A;001;영미문화 읽기;3;월(1-3)/수(1-3)/금(1-3);001-210/001-210/001-210;윤병우;40;13;;normal_foreign
교양;영어영문학과;1학년;002.006A;002;영미 대중소설 읽기;3;월(7-3)/수(7-3)/금(7-3);007-102/007-102/007-102;나고은;60;20;;normal_foreign
교양;영어영문학과;1학년;002.006A;003;영미 대중소설 읽기;3;월(4-3)/수(4-3)/금(4-3);005-209/005-209/005-209;이나경;60;20;;normal_foreign
교양;불어불문학과;1학년;002.042A;001;프랑스어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);005-212/005-212/005-212;장진영;50;26;;normal_foreign
교양;불어불문학과;1학년;002.042A;002;프랑스어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);005-212/005-212/005-212;문경자;50;27;;normal_foreign
교양;독어독문학과;1학년;002.053A;001;독일어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);014-201/014-201/014-201;이숙경;50;17;;normal_foreign
교양;서어서문학과;1학년;002.133;001;스페인어권 문화의 이해;3;월(1-3)/수(1-3)/금(1-3);006-210/006-210/006-210;박은영;50;30;;normal_foreign
교양;서어서문학과;1학년;002.133;002;스페인어권 문화의 이해;3;월(4-3)/수(4-3)/금(4-3);006-210/006-210/006-210;강성식;50;12;;normal_foreign
교양;서어서문학과;1학년;002.133;003;스페인어권 문화의 이해;3;월(7-3)/수(7-3)/금(7-3);006-210/006-210/006-210;최해성;50;32;;normal_foreign
교양;협동과정  서양고전학전공;1학년;003.024;;희랍·로마신화;3;화(1-4)/목(1-4);006-106/006-106;김기영;50;28;;normal_art
교양;노어노문학과;1학년;003.031;;러시아명작의 이해;3;화(1-4)/목(1-4);014-201/014-201;이현우;50;15;;normal_art
교양;미학과;1학년;003.052;;예술과 사회;3;월(4-3)/수(4-3)/금(4-3);007-101/007-101/007-101;신혜경;50;32;;normal_art
교양;미학과;1학년;003.053;001;현대예술의 이해;2;화(1-4)/목(1-4);005-201/005-201;마순영;50;11;;normal_art
교양;미학과;1학년;003.053;002;현대예술의 이해;2;화(6-4)/목(6-4);005-201/005-201;이승건;50;21;;normal_art
