2009/S/300;자연과학대학;
2013-01-19 20:59:31
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;협동과정  과학사 및 과학철학전공;1학년;006.021;001;과학사개론;3;월(1-3)/수(1-3)/금(1-3);024-102/024-102/024-102;정원;60;42;;normal_nature
교양;협동과정  과학사 및 과학철학전공;1학년;006.021;002;과학사개론;3;화(1-4)/목(1-4);024-102/024-102;정혜경;60;40;;normal_nature
교양;협동과정  과학사 및 과학철학전공;1학년;006.021;003;과학사개론;3;월(5-3)/수(5-3)/금(5-3);024-102/024-102/024-102;김봉국;60;23;;normal_nature
교양;통계학과;2학년;007.046;;통계학의 개념 및 실습;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);024-211/025-210/024-211/025-210/024-211/025-210;권성훈;40;20;;normal_science
교양;수리과학부;1학년;010.101;001;수학 및 연습 1;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);500-L301/500-L301/500-L301/500-L301/500-L301/500-L301;김영득;30;19;;basic_science
교양;수리과학부;1학년;010.101;002;수학 및 연습 1;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);500-L302/500-L302/500-L302/500-L302/500-L302/500-L302;윤미;30;23;;basic_science
교양;수리과학부;1학년;010.101;003;수학 및 연습 1;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);500-L303/500-L303/500-L303/500-L303/500-L303/500-L303;최종성;30;14;;basic_science
교양;수리과학부;1학년;010.101;004;수학 및 연습 1;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);500-L304/500-L304/500-L304/500-L304/500-L304/500-L304;최양선;30;16;;basic_science
교양;수리과학부;1학년;010.101;005;수학 및 연습 1;3;월(3-2)/월(6-2)/수(3-2)/수(6-2)/금(3-2)/금(6-2);500-L309/500-L309/500-L309/500-L309/500-L309/500-L309;김도형;30;19;;basic_science
교양;수리과학부;1학년;010.101;006;수학 및 연습 1;3;월(3-2)/월(6-2)/수(3-2)/수(6-2)/금(3-2)/금(6-2);500-L305/500-L305/500-L305/500-L305/500-L305/500-L305;이영민;30;21;;basic_science
교양;수리과학부;1학년;010.101;007;수학 및 연습 1;3;월(3-2)/월(6-2)/수(3-2)/수(6-2)/금(3-2)/금(6-2);500-L308/500-L308/500-L308/500-L308/500-L308/500-L308;김일형;30;16;;basic_science
교양;수리과학부;1학년;010.102;001;수학 및 연습 2;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);024-207/024-207/024-207/024-207/024-207/024-207;김준형;30;26;;basic_science
교양;수리과학부;1학년;010.102;002;수학 및 연습 2;3;월(1-2)/월(3-2)/수(1-2)/수(3-2)/금(1-2)/금(3-2);024-209/024-209/024-209/024-209/024-209/024-209;윤석배;30;20;;basic_science
교양;수리과학부;1학년;010.102;003;수학 및 연습 2;3;월(3-2)/월(6-2)/수(3-2)/수(6-2)/금(3-2)/금(6-2);025-107/025-107/025-107/025-107/025-107/025-107;김형준;30;23;;basic_science
교양;수리과학부;1학년;010.102;004;수학 및 연습 2;3;월(3-2)/월(6-2)/수(3-2)/수(6-2)/금(3-2)/금(6-2);024-211/024-211/024-211/024-211/024-211/024-211;김우찬;30;19;;basic_science
교양;수리과학부;1학년;010.105;001;생명과학을 위한 수학 1;3;화(1-4)/목(1-4);024-210/024-210;문명인;30;19;;basic_science
교양;수리과학부;1학년;010.105;002;생명과학을 위한 수학 1;3;월(1-3)/수(1-3)/금(1-3);024-112/024-112/024-112;박광순;30;21;;basic_science
교양;물리·천문학부;1학년;010.112;001;물리학 1;3;월(1-3)/수(1-3)/금(1-3);026-108/026-108/026-108;홍성철;210;132;;basic_science
교양;물리·천문학부;1학년;010.112;002;물리학 1;3;월(5-3)/수(5-3)/금(5-3);026-108/026-108/026-108;유재준;210;134;;basic_science
