2010/1/930;법학전문대학원;
2013-01-19 20:53:01
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
전필;법학전문대학원;석박사;931.501;001;법률정보조사 및 법문서작성;2;화(6-1.5)/목(6-1.5);015-601/015-601;허성욱;50;53;타대생 수강불허;
전필;법학전문대학원;석박사;931.501;002;법률정보조사 및 법문서작성;2;화(6-1.5)/목(6-1.5);015-601/015-601;전종익;50;55;타대생 수강불허;
전필;법학전문대학원;석박사;931.501;003;법률정보조사 및 법문서작성;2;화(6-1.5)/목(6-1.5);015-601/015-601;이동진;50;53;타대생 수강불허;
전선;법학전문대학원;석박사;931.504;;법과 사회과학;3;월(3-1.5)/수(3-1.5);017-106/017-106;이재협;30;12;타대생 수강불허;
전필;법학전문대학원;석박사;931.505;003;법조윤리;1;금(6-2);015-201;한인섭;75;55;;
전필;법학전문대학원;석박사;931.505;004;법조윤리;1;금(6-2);015-301;박준;75;75;;
전선;법학전문대학원;석박사;931.507;;법철학;3;월(9-1.5)/수(9-1.5);017-103/017-103;김도균;20;10;타대생 수강불허;
전선;법학전문대학원;석박사;931.511;;법사회학;3;수(8-3);017-105;양현아;20;14;타대생 수강불허;
전선;법학전문대학원;석박사;931.516;;한국근현대법사;3;수(5-3);017-106;정긍식;30;14;타대생 수강불허;
전선;법학전문대학원;석박사;931.522;;법경제학;3;화(3-1.5)/목(3-1.5);084-001/084-001;허성욱;70;20;타대생 수강불허;
전필;법학전문대학원;석박사;931.601;001;공법1(헌법과정치제도);2;월(6-1.5)/수(6-1.5);017-108/017-108;정종섭;54;54;타대생 수강불허;
전필;법학전문대학원;석박사;931.601;002;공법1(헌법과정치제도);2;월(6-1.5)/수(6-1.5);015-301/015-301;송석윤;54;53;타대생 수강불허;
전필;법학전문대학원;석박사;931.601;003;공법1(헌법과정치제도);2;월(6-1.5)/수(6-1.5);015-401/015-401;전종익;53;53;타대생 수강불허;
전선;법학전문대학원;석박사;931.608;;의회제도론;3;월(3-1.5)/수(3-1.5);017-108/017-108;이효원;30;14;타대생 수강불허;
전선;법학전문대학원;석박사;931.618;001;행정구제법;3;화(9-1.5)/목(9-1.5);015-201/015-201;박정훈;75;14;타대생 수강불허;
