2010/2/810;간호대학;
2013-01-19 20:53:25
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;간호학과;1학년;005.043;001;사회학의 이해;3;화(5-3);#025-102;박종헌;70;47;간호대학;normal_society
전필;간호대학;1학년;811.201;;간호학개론;2;;;이남주;90;85;;
전필;간호대학;2학년;811.208;;기본간호학및실습 2;2;;;서은영;35;35;;
전필;간호대학;2학년;811.208;001;기본간호학및실습 2;2;;;이남주;35;33;;
전필;간호대학;2학년;811.212;;지역사회간호학 1;2;;;윤순녕;80;68;;
전필;간호대학;2학년;811.215;;건강교육과 상담;3;;;김윤아;80;69;;
전필;간호대학;2학년;811.218;;병태생리학;4;;;최스미;80;76;;
전필;간호대학;2학년;811.220;;병원미생물학;2;;;황응수;80;70;;
전필;간호대학;2학년;811.221;;약물기전과 효과;2;;;최스미;80;71;;
전필;간호대학;3학년;811.322;;재활간호학및실습;3;;;박연환;80;51;;
전필;간호대학;3학년;811.323;;간호정보학및실습;2;;;박현애;80;51;;
전필;간호대학;3학년;811.326;;성인건강간호학 2;3;;;김금순;80;52;;
전필;간호대학;3학년;811.327;;성인건강간호학실습 2;3;;;김금순;80;51;;
전필;간호대학;3학년;811.330;;정신건강간호학 1;2;;;하양숙;80;53;;
전필;간호대학;3학년;811.331;;노인건강간호학및실습;3;;;송미순;80;51;;
전필;간호대학;3학년;811.403;;간호연구개론;2;;;방경숙;80;53;;
전필;간호대학;4학년;811.410;;간호관리학실습;3;;;박성애;80;5;;
전필;간호대학;4학년;811.416;;간호특론;2;;;박현애;80;9;;
전필;간호대학;4학년;811.420;;가족건강간호 및 실습;3;;;윤순녕;80;54;;
전필;간호대학;4학년;811.422;;간호윤리세미나;1;;;이남주;80;54;;
전필;간호대학;4학년;811.430;;학교보건간호 및 실습;3;;;이인숙;80;9;;
전선;간호대학;4학년;811.432;;여성건강간호학 및 실습;3;;;정재원;80;5;;
전선;간호대학;4학년;811.436;;중환자간호및실습;2;;;고진강;80;4;;
전선;간호대학;석박사;811.518;;간호이론총론;3;;;박영숙;50;6;;
전선;간호대학;석박사;811.519;;간호연구방법총론;3;;;박연환;50;35;;
전선;간호대학;석박사;811.521;;중급간호통계학;3;;;김진현;40;37;;
