2011/2/500;농업생명과학대학;
2013-01-19 20:55:09
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;식물생산과학부;1학년;006.036;;생활원예;2;화(5-2);201-101;김기선;200;86;;normal_nature
전선;농경제사회학부;1학년;200.106;201;경제원론 2;3;화(7.5-1.5)/목(7.5-1.5);75-1-204/75-1-204;임정빈;60;52;농경제사회학부 1학년만 수강 가능;
전필;농경제사회학부;2학년;212.202;201;거시경제이론;3;화(6-1.5)/목(6-1.5);75-1-204/75-1-204;김한호;70;38;;
전필;농경제사회학부;1학년;212.214;201;경제수학;3;월(6-1.5)/수(6-1.5);75-1-204/75-1-204;노재선;60;65;;
전선;농경제사회학부;석박사;212.703;201;계량경제학연구;3;월(1-3);200-1039;김관수;30;55;;
전필;응용생물화학부;3학년;300.312;200;생화학 1;3;화(6-1.5)/목(6-1.5);200-1043/200-1043;이상기;80;86;;
전필;응용생물화학부;3학년;300.313;200;생화학 2;3;화(3-1.5)/목(3-1.5);201-101/201-101;신찬석;80;50;;
전필;농업생명과학대학;3학년;300.319;003;분자생물학;3;화(1-3);200-1043;최양도;80;60;;
전필;응용생물화학부;2학년;3343.206;200;유기화학 2;3;화(7.5-1.5)/목(7.5-1.5);200-1043/200-1043;김수언;80;72;;
전필;조경·지역시스템공학부;3학년;457.003;001;수문학 및 실험;3;월(3-1)/수(3-1)/목(4-2);200-3220/200-3220/200-3220;박승우;40;14;타과생 수강불허;
전선;조경·지역시스템공학부;3학년;457.004;001;철근콘크리트공학;3;월(8-3);200-1022;한이철;40;10;타과생 수강불허;
전필;조경·지역시스템공학부;2학년;457.201;001;재료역학 및 실험;3;월(5-2)/수(5-2);200-3220/200-3220;이정재;40;21;타과생 수강불허;
전선;농업생명과학대학;1학년;500.168;;바이오시스템·소재학개론;2;화(4-2);200-1012;현진호;58;56;;
전선;농업생명과학대학;1학년;500.169;;식품·동물생명공학개론;2;금(1-2);200-1021;유상렬;40;33;;
전선;농업생명과학대학;1학년;500.170;;산림과학개론;2;월(8-2);75-1-204;이우신;60;59;;
전선;농업생명과학대학;1학년;500.171;;식물생산과학개론;2;화(8-2);200-3110;손정익;60;29;;
전선;농업생명과학대학;1학년;500.172;;응용생물화학개론;2;목(8-2);200-1012;김민균;80;45;;
전선;농업생명과학대학;1학년;500.173;;조경·지역시스템공학개론;2;수(8-2);200-1043;정욱주;80;73;;
전선;농업생명과학대학;2학년;500.210;;국제개발협력과 농업;3;금(5-4);200-1043;나승일;100;34;;
전선;농업생명과학대학;2학년;500.301A;;통계학개론 및 실습;3;화(1-2)/목(1-2);200-1007/200-1043;김희발;40;43;;
전선;농업생명과학대학;3학년;500.307;;농업법개론;3;금(5-3);75-1-204;이정재;80;21;;
전선;농업생명과학대학;3학년;500.405;;컴퓨터프로그래밍개론;3;금(1-2)/금(3-2);200-1007/200-1007;이재흥;40;37;;
전선;식물생산과학부;석박사;500.511;;농업생태학특론;3;화(8-3);200-1007;김광수;30;20;;
전선;농생명공학부;석박사;500.522;;분자생물학특강;3;목(1-3);200-7113;최양도;40;36;;
전선;농생명공학부;석박사;500.525;;농업부산물자원학;3;수(5-3);200-1020;최홍림;40;1;;
전선;식물생산과학부;석박사;500.526;;후생유전학;3;수(7-3);200-1039;허진회;40;26;;
교직;농업생명과학대학;3학년;500.E303;;교육봉사활동;2;토(5-6);200-2118;나승일;50;3;;
교직;농업생명과학대학;2학년;500.E304;;농업교육학개론;3;수(6-3);200-2116;정진철;60;23;;
교직;농업생명과학대학;3학년;500.E315;;직업 및 진로지도;3;월(2-3);200-2116;양안나;50;16;;
교직;농업생명과학대학;4학년;500.E402;;교육실습;2;금(11-3)/토(11-3);200-2118/200-2118;나승일;50;3;;
전선;식물생산과학부;석박사;501.522;;밭작물생산학;3;화(5-3);200-3110;이석하;30;26;;
전선;식물생산과학부;석박사;501.524;;작물유전학특론;3;화(8-3);200-1022;백남천;30;19;;
전선;식물생산과학부;석박사;501.525;;공예작물학;3;화(1-3);200-1022;양태진;30;24;;
전선;식물생산과학부;석박사;501.611;;농학세미나 2;1;수(7-2);200-3110;백남천;30;14;;
전선;식물생산과학부;석박사;501.612;;작물학세미나 2;1;수(9-2);200-3110;김광수;30;7;;
;식물생산과학부;석박사;501.803;001;대학원논문연구;3;;;이변우;10;2;;
