2013/1/370;약학대학;
2013-01-19 20:57:52
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
전필;약학기본과정;1학년;370.1101;;약학개론 및 약사윤리;1;월(9-2);021-115;심창구;70;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1102;001;물리약학 1;3;수(5-3);021-115;오유경;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1102;002;물리약학 1;3;수(5-3);021-218;변영로;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1103;001;물리약학 2;2;월(5-2);021-115;오유경;35;0;;
전필;약학기본과정;1학년;370.1103;002;물리약학 2;2;월(5-2);021-218;변영로;35;0;;
전필;약학기본과정;1학년;370.1104;001;약품분석학 1;3;월(1-3);021-108;박정일;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1104;002;약품분석학 1;3;수(1-3);021-108;송준명;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1105;001;약품분석학 2;2;월(7-2);021-108;권성원;35;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1105;002;약품분석학 2;2;수(8-2);021-108;송준명;35;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1106;001;약화학 1;3;목(1-3);021-115;김상희;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1106;002;약화학 1;3;목(1-3);021-218;이지우;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1107;001;약화학 2;2;화(5-2);021-115;김상희;35;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1107;002;약화학 2;2;화(5-2);020-422;이지우;35;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1108;001;생화학 1;3;화(1.5-1.5)/목(7.5-1.5);021-115/021-115;한병우;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1108;002;생화학 1;3;화(1.5-1.5)/목(7.5-1.5);021-218/020-312;이정원;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1113;001;약학실습 1;1;화(8-4);021-423;오유경;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1113;002;약학실습 1;1;목(8-4);021-423;박정일;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;1학년;370.1205;001;생약학 2;2;월(8-2);021-112;김진웅;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1205;002;생약학 2;2;월(8-2);021-218;성상현;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1206;001;의약품합성화학 2;2;화(5-2);021-112;이지연;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;1학년;370.1206;002;의약품합성화학 2;2;화(5-2);021-110;이지연;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2103;001;미생물 및 면역학 2;2;수(1-2);021-112;오동찬;70;0;약학대학 6년제 전공과정 외 수강불가;
전필;약학기본과정;2학년;370.2103;002;미생물 및 면역학 2;2;수(1-2);021-218;강창율;0;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2104;001;예방약학 2;3;월(6-1.5)/수(6-1.5);021-112/021-112;이병훈;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2104;002;예방약학 2;3;월(6-1.5)/수(6-1.5);020-422/020-422;정진호;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2105;001;약물학 1;3;화(1-3)/목(1-3);43-1-201/43-1-201;김상건;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2105;002;약물학 1;3;화(1-3)/목(1-3);029-105-1/029-105-1;강건욱;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2107;001;약제학 1;2;목(5-2);021-112;정석재;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2107;002;약제학 1;2;목(5-2);020-312;김대덕;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2109;001;병리학;2;월(2-2);021-112;신영기;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2109;002;병리학;2;월(2-2);021-218;신영기;34;0;약학대학 6년제 전공과정 외 수강 불가;
전필;약학기본과정;2학년;370.2110;;약학통계학;2;금(2-2);021-112;;70;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2111;001;약학실습 3;1;화(8-4);029-101;한병우;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;2학년;370.2111;002;약학실습 3;1;목(8-4);029-101;한병우;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학과;3학년;370.303;;생화학실험;1;화(8-4);029-105-1;한병우;10;0;;
전필;약학기본과정;3학년;370.3101;001;약물치료학 1;4;금(1-4);#017-103;신완균;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3101;002;약물치료학 1;4;금(1-4);021-110;신완균;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3102;001;약물치료학 2;4;수(2-4);#017-103;오정미;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3102;002;약물치료학 2;4;수(10-4);021-110;오정미;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3105;001;천연물의약학;2;화(2-3);021-108;이상국;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3105;002;천연물의약학;2;화(2-3);020-211;김영식;35;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3106;001;실무실습 1;3;토(0-10);#017-103;오유경;34;0;약학대학 6년제 전공과정 외 수강불가;
전필;약학기본과정;3학년;370.3106;002;실무실습 1;3;토(0-10);021-423;정석재;34;0;약학대학 6년제 전공과정 외 수강불가;
전필;약학기본과정;3학년;370.3109;001;약물치료학실습 1;1;수(7-1)/금(6-1);#017-103/#017-103;오정미;34;0;약학대학 6년제 전공과정 외 수강 불허;
전필;약학기본과정;3학년;370.3109;002;약물치료학실습 1;1;수(7-1)/금(6-1);021-423/021-423;오정미;34;0;약학대학 6년제 전공과정 외 수강 불허;
