2013/1/400;공과대학;
2013-01-19 20:57:54
classification;department;academic_year;course_number;lecture_number;course_title;credit;class_time;location;instructor;quota;enrollment;remark;category
교양;연합전공 기술경영;4학년;005.058;001;창업과 경제;3;금(6-3);43-1-302;배인탁;54;0;;normal_society
교양;협동과정 기술경영·경제·정책전공;1학년;005.059;;특허와 기술이전;3;금(5-3);43-1-401;박하영;90;0;;normal_society
교양;공과대학;1학년;005.060;;공학윤리와 리더십;3;월(3-1.5)/수(3-1.5);039-B103/039-B103;고상근;90;0;GECE 프로그램, 화상강의;normal_society
교양;협동과정 기술경영·경제·정책전공;1학년;006.043A;;기술과 경제;3;월(6-1.5)/수(6-1.5);043-101/043-101;김연배;90;0;;normal_nature
교양;컴퓨터공학부;1학년;010.133;001;컴퓨터의 개념 및 실습;3;월(6.5-2)/수(6.5-2);302-106/302-311-1;이재진;60;0;컴퓨터공학부;basic_science
교양;컴퓨터공학부;1학년;010.133;002;컴퓨터의 개념 및 실습;3;월(6-2)/수(6-2);500-L309/500-L309;민상렬;9;0;생명과학부;basic_science
교양;건설환경공학부;2학년;010.133;003;컴퓨터의 개념 및 실습;3;월(5-2)/수(5-2);035-223/035-223;;50;0;건설환경공학부, 지구환경시스템공학부;basic_science
교양;기계항공공학부;2학년;010.133;004;컴퓨터의 개념 및 실습;3;수(6-2)/금(5-2);301-105/301-109;김찬중;70;0;기계항공공학부, 타과생 수강불허;basic_science
교양;기계항공공학부;2학년;010.133;005;컴퓨터의 개념 및 실습;3;수(6-2)/금(7-2);301-109/301-109;방현우;70;0;기계항공공학부, 타과생 수강불허;basic_science
교양;원자핵공학과;1학년;010.133;007;컴퓨터의 개념 및 실습;3;화(5-2)/목(5-2);102-201/102-201;심형진;50;0;원자핵공학과,타학과 수강불허;basic_science
교양;공과대학;1학년;010.133;009;컴퓨터의 개념 및 실습;3;월(5-2)/수(5-2);039-B113/102-202;조인순;45;0;공학계열만 가능, 타학부생 수강불허;basic_science
교양;전기·정보공학부;1학년;010.133;012;컴퓨터의 개념 및 실습;3;월(6.5-2)/수(6.5-2);302-408/301-207;문수묵;80;0;전기정보공학부;basic_science
교양;전기·정보공학부;1학년;010.133;013;컴퓨터의 개념 및 실습;3;화(5-2)/목(5-2);301-202/301-207;김태환;80;0;전기정보공학부;basic_science
교양;전기·정보공학부;1학년;010.133;014;컴퓨터의 개념 및 실습;3;화(5-2)/목(5-2);301-207/301-202;윤성로;80;0;전기정보공학부;basic_science
교양;에너지자원공학과;1학년;010.133;015;컴퓨터의 개념 및 실습;3;월(5-2)/수(5-2);036-210/102-201;;50;0;에너지자원공학과, 타과생 수강불허;basic_science
교양;협동과정 기술경영·경제·정책전공;1학년;025.039;;국가발전의 기본원리;3;월(3-1.5)/수(3-1.5);083-305/083-305;김태유;20;0;;core_society
교양;컴퓨터공학부;1학년;027.013;;컴퓨터과학이 여는 세계;3;월(6-1.5)/수(6-1.5);500-L311/500-L311;이광근;12;0;;core_technology
전선;산업공학과;2학년;400.015;;산업공학개론;3;월(6-3);43-1-405;;30;0;;
전선;전기·정보공학부;2학년;400.019A;;전기.정보공학개론;3;월(1.5-1.5)/수(1.5-1.5);301-302/301-302;이상욱;60;0;전기컴퓨터공학부군,전기정보공학부,컴퓨터공학부,전기컴퓨터공학부 수강금지;
